icon_name,is_alias,tags
arrow-up-az,yes,
arrow-up-circle,yes,
arrow-up-down,no,bidirectional; two-way; 2-way; swap; switch; network; mobile data; internet; sort; reorder; move
arrow-up-from-dot,no,direction; north; step; out
arrow-up-from-line,no,forward; direction; north; upload; git; version control; push; expand; fold; vertical
arrow-up-left,no,direction; north-west; diagonal
arrow-up-left-from-circle,yes,
arrow-up-left-from-square,yes,
arrow-up-left-square,yes,
arrow-up-narrow-wide,no,filter; sort; ascending; descending; increasing; decreasing; rising; falling
arrow-up-right,no,direction; north-east; diagonal
arrow-up-right-from-circle,yes,
arrow-up-right-from-square,yes,
arrow-up-right-square,yes,
arrow-up-square,yes,
arrow-up-to-line,no,forward; direction; north; upload; collapse; fold; vertical
arrow-up-wide-narrow,no,filter; sort; ascending; descending; increasing; decreasing; rising; falling
arrow-up-z-a,no,filter; sort; ascending; descending; increasing; decreasing; rising; falling; alphabetical; reverse
arrow-up-za,yes,
arrows-up-from-line,no,direction; orientation; this way up; vertical; package; box; fragile; postage; shipping
asterisk,no,reference; times; multiply; multiplication; operator; code; glob pattern; wildcard; *
asterisk-square,yes,
at-sign,no,mention; at; email; message; @
atom,no,atomic; nuclear; physics; particle; element; molecule; electricity; energy; chemistry
audio-lines,no,graphic equaliser; sound; noise; listen; hearing; hertz; frequency; wavelength; vibrate; sine; synthesizer; synthesiser; levels; track; music; playback; radio; broadcast; airwaves; voice; vocals; singer; song
audio-waveform,no,sound; noise; listen; hearing; hertz; frequency; wavelength; vibrate; sine; synthesizer; synthesiser; levels; track; music; playback; radio; broadcast; airwaves; voice; vocals; singer; song
award,no,achievement; badge; rosette; prize; winner
axe,no,hatchet; weapon; chop; sharp; equipment; fireman; firefighter; brigade; lumberjack; woodcutter; logger; forestry
axis-3-d,yes,
axis-3d,no,gizmo; coordinates
baby,no,child; childproof; children
backpack,no,bag; hiking; travel; camping; school; childhood
badge,no,check; verified; unverified
badge-alert,no,check; verified; unverified; security; safety; issue
badge-cent,no,discount; offer; sale; voucher; tag; monetization; marketing; finance; financial; exchange; transaction; payment; cents; dollar; usd; $; ¢
badge-check,no,verified; check
badge-dollar-sign,no,discount; offer; sale; voucher; tag; monetization; marketing; finance; financial; exchange; transaction; payment; usd; $
badge-euro,no,discount; offer; sale; voucher; tag; monetization; marketing; finance; financial; exchange; transaction; payment; €
badge-help,yes,
badge-indian-rupee,no,discount; offer; sale; voucher; tag; monetization; marketing; finance; financial; exchange; transaction; payment; inr; ₹
badge-info,no,verified; unverified; help
badge-japanese-yen,no,discount; offer; sale; voucher; tag; monetization; marketing; finance; financial; exchange; transaction; payment; jpy; ¥
badge-minus,no,verified; unverified; delete; remove; erase
badge-percent,no,verified; unverified; sale; discount; offer; marketing; sticker; price tag
badge-plus,no,verified; unverified; add; create; new
badge-pound-sterling,no,discount; offer; sale; voucher; tag; monetization; marketing; finance; financial; exchange; transaction; payment; british; gbp; £
badge-question-mark,no,verified; unverified; help
badge-russian-ruble,no,discount; offer; sale; voucher; tag; monetization; marketing; finance; financial; exchange; transaction; payment; rub; ₽
badge-swiss-franc,no,discount; offer; sale; voucher; tag; monetization; marketing; finance; financial; exchange; transaction; payment; chf; ₣
badge-turkish-lira,no,discount; offer; sale; voucher; tag; monetization; marketing; finance; financial; exchange; transaction; payment; try; ₺
badge-x,no,verified; unverified; lost; delete; remove
baggage-claim,no,baggage; luggage; travel; cart; trolley; suitcase
balloon,no,party; festival; congratulations; celebration; decoration; colorful; floating; fun; birthday; event; entertainment
ban,no,cancel; no; stop; forbidden; prohibited; error; incorrect; mistake; wrong; failure; circle; slash; null; void
banana,no,fruit; food
bandage,no,plaster; band-aid; first aid; medical; health; wound; injury; care; treatment; healing; protection; emergency; aid; safety; patch
banknote,no,currency; money; payment
banknote-arrow-down,no,bill; currency; money; payment; funds; transaction; cash; finance; withdraw; expense; out; payout; refund; debit; spending; decrease
banknote-arrow-up,no,bill; currency; money; payment; funds; transaction; cash; finance; deposit; earnings; income; in; credit; prepaid; growth; increase
banknote-x,no,bill; currency; money; payment; funds; transaction; cash; finance; error; failed; rejected; canceled; declined; lost; delete; remove
bar-chart,yes,
bar-chart-2,yes,
bar-chart-3,yes,
bar-chart-4,yes,
bar-chart-big,yes,
bar-chart-horizontal,yes,
bar-chart-horizontal-big,yes,
barcode,no,scan; checkout; till; cart; transaction; purchase; buy; product; packaging; retail; consumer
barrel,no,keg; drum; tank; wine; beer; oak; wood; firkin; hogshead; kilderkin; barrique; solera; aging; whiskey; brewery; distillery; winery; vineyard
baseline,no,text; format; color
bath,no,amenities; services; bathroom; shower
battery,no,power; electricity; energy; accumulator; charge
battery-charging,no,power; electricity; energy; accumulator; charge
battery-full,no,power; electricity; energy; accumulator; charge
battery-low,no,power; electricity; energy; accumulator; charge
battery-medium,no,power; electricity; energy; accumulator; charge
battery-plus,no,power; electricity; energy; accumulator; charge; plus; economy; health; add; new; maximum; upgrade; extra; +
battery-warning,no,power; electricity; energy; accumulator; charge; exclamation mark
beaker,no,cup; lab; chemistry; experiment; test
bean,no,legume; soy; food; seed
bean-off,no,soy free; legume; soy; food; seed; allergy; intolerance; diet
bed,no,sleep; hotel; furniture
bed-double,no,sleep; hotel; furniture
bed-single,no,sleep; hotel; furniture
beef,no,food; dish; restaurant; course; meal; meat; bbq; steak
beer,no,alcohol; bar; beverage; brewery; drink
beer-off,no,alcohol; bar; beverage; brewery; drink
bell,no,alarm; notification; sound; reminder
bell-dot,no,alarm; notification; sound; reminder; unread
bell-electric,no,fire alarm; flames; smoke; firefighter; fireman; department; brigade; station; emergency; alert; safety; school bell; period break; recess; doorbell; entrance; entry; ring; reception
bell-minus,no,alarm; notification; silent; reminder; delete; remove; erase
bell-off,no,alarm; notification; silent; reminder
bell-plus,no,notification; silent; reminder; add; create; new
bell-ring,no,alarm; notification; sound; reminder
between-horizonal-end,yes,
between-horizonal-start,yes,
between-horizontal-end,no,insert; add; left; slot; squeeze; space; vertical; grid; table; rows; cells; excel; spreadsheet; accountancy; data; enter; entry; entries; blocks; rectangles; chevron
between-horizontal-start,no,insert; add; right; slot; squeeze; space; vertical; grid; table; rows; cells; excel; spreadsheet; accountancy; data; enter; entry; entries; blocks; rectangles; chevron
between-vertical-end,no,insert; add; top; slot; squeeze; space; vertical; grid; table; columns; cells; data; enter; entry; entries; blocks; rectangles; chevron
between-vertical-start,no,insert; add; bottom; slot; squeeze; space; vertical; grid; table; columns; cells; data; enter; entry; entries; blocks; rectangles; chevron
biceps-flexed,no,arm; muscle; strong; working out; athletic; toned; muscular; forelimb; curled
bike,no,bicycle; transport; trip
binary,no,code; digits; computer; zero; one; boolean
binoculars,no,field glasses; lorgnette; pince-nez; observation; sightseeing; nature; wildlife; birdwatching; scouting; surveillance; search; discovery; monitoring; lookout; viewpoint; travel; tourism; research
biohazard,no,fallout; waste; biology; chemistry; chemical; element
bird,no,peace; freedom; wing; avian; tweet
birdhouse,no,birdhouse; bird; garden; home; house; woodwork
bitcoin,no,currency; money; payment
blend,no,mode; overlay; multiply; screen; opacity; transparency; alpha; filters; lenses; mixed; shades; tints; hues; saturation; brightness; overlap; colors; colours
blinds,no,shades; screen; curtain; shutter; roller blind; window; lighting; household; home
blocks,no,addon; plugin; integration; extension; package; build; stack; toys; kids; children; learning; squares; corner
bluetooth,no,wireless
bluetooth-connected,no,paired
bluetooth-off,no,lost
bluetooth-searching,no,pairing
bold,no,text; strong; format
bolt,no,nut; screw; settings; preferences; configuration; controls; edit; diy; fixed; build; construction; parts
bomb,no,fatal; error; crash; blockbuster; mine; explosion; explode; explosive
bone,no,health; skeleton; skull; death; pets; dog
book,no,reading; paperback; booklet; magazine; leaflet; pamphlet; tome; library; writing; written; writer; author; story; script; fiction; novel; information; knowledge; education; high school; university; college; academy; student; study; learning; homework; research; documentation
book-a,no,dictionary; define; definition; thesaurus; encyclopedia; encyclopaedia; reading; booklet; magazine; leaflet; pamphlet; tome; library; writing; written; writer; author; story; script; fiction; novel; information; knowledge; education; high school; university; college; academy; student; study; learning; homework; research; language; translate; alphabetical; a-z; ordered
book-alert,no,reading; paperback; booklet; magazine; leaflet; pamphlet; tome; library; writing; written; writer; author; story; script; fiction; novel; information; knowledge; education; high school; university; college; academy; student; study; learning; homework; research; documentation; warning; alert; danger; exclamation mark
book-audio,no,audiobook; reading; listening; sound; story; fiction; novel; information; knowledge; education; student; study; learning; research
book-check,no,read; booklet; magazine; leaflet; pamphlet; library; written; authored; published; informed; knowledgeable; educated; schooled; homework; examined; tested; marked; passed; graduated; studied; learned; lesson; researched; documented; revealed; blank; plain language; true; truth; verified; corrected; task; todo; done; completed; finished; ticked
book-copy,no,code; coding; version control; git; repository; clone; fork; duplicate; multiple; books; library; copies; copied; plagiarism; plagiarised; plagiarized; reading list; information; informed; knowledge; knowledgeable; knowledgable; education; high school; university; college; academy; student; study; learning; research; smart; intelligent; intellectual
book-dashed,no,code; coding; version control; git; repository; template; draft; script; screenplay; writing; writer; author; unwritten; unpublished; untold
book-down,no,code; coding; version control; git; repository; pull
book-headphones,no,audiobook; reading; listening; sound; story; fiction; novel; information; knowledge; education; student; study; learning; research
book-heart,no,diary; romance; novel; journal; entry; entries; personal; private; secret; crush; like; love; emotion; feminine; girls; teens; teenager; therapy; theraputic; therapist; planner; organizer; organiser; notes; notepad; stationery; sketchbook; writing; written; reading; favorite; favourite; high school
book-image,no,images; pictures; photos; album; collection; event; magazine; catalog; catalogue; brochure; browse; gallery
book-key,no,code; coding; version control; git; repository; private; public; secret; unlocked; hidden; revealed; knowledge; learning
book-lock,no,code; coding; version control; git; repository; private; secret; hidden; knowledge
book-marked,no,dictionary; reading; booklet; magazine; leaflet; pamphlet; tome; library; writing; written; writer; author; story; script; fiction; novel; information; knowledge; education; high school; university; college; academy; student; study; learning; homework; research; documentation; saved; later; future; reference; index; code; coding; version control; git; repository
book-minus,no,code; coding; version control; git; repository; remove; delete; censor; cancel; forbid; prohibit; ban; uneducated; re-educate; unlearn; downgrade
book-open,no,reading; pages; booklet; magazine; leaflet; pamphlet; library; writing; written; writer; author; story; script; screenplay; fiction; novel; information; knowledge; education; high school; university; college; academy; student; study; learning; homework; research; documentation; revealed; blank; plain
book-open-check,no,read; pages; booklet; magazine; leaflet; pamphlet; library; written; authored; published; informed; knowledgeable; educated; schooled; homework; examined; tested; marked; passed; graduated; studied; learned; lesson; researched; documented; revealed; blank; plain language; true; truth; verified; corrected; task; todo; done; completed; finished; ticked
book-open-text,no,reading; pages; booklet; magazine; leaflet; pamphlet; library; writing; written; writer; author; story; script; fiction; novel; information; knowledge; education; high school; university; college; academy; student; study; learning; homework; research; documentation; revealed
book-plus,no,code; coding; version control; git; repository; remove; delete; read; write; author; publish; inform; graduate; re-educate; study; learn; research; knowledge; improve; upgrade; level up
book-search,no,reading; library; study; education; research; knowledge; discover; browsing; lookup; finding; scanning
book-template,yes,
book-text,no,reading; booklet; magazine; leaflet; pamphlet; tome; library; writing; written; writer; author; story; script; fiction; novel; information; knowledge; education; high school; university; college; academy; student; study; learning; homework; research; documentation
book-type,no,thesaurus; synonym; reading; booklet; magazine; leaflet; pamphlet; tome; library; writing; written; writer; author; story; script; fiction; novel; information; knowledge; education; high school; university; college; academy; student; study; learning; homework; research; language; translate; typography; fonts; collection
book-up,no,code; coding; version control; git; repository; push
book-up-2,no,code; coding; version control; git; repository; push; force
book-user,no,person; people; family; friends; acquaintances; contacts; details; addresses; phone numbers; directory; listing; networking
book-x,no,code; coding; version control; git; repository; remove; delete; reading; misinformation; disinformation; misinformed; charlatan; sophistry; false; lies; untruth; propaganda; censored; cancelled; forbidden; prohibited; banned; uneducated; re-education; unlearn
bookmark,no,save; favorite; mark; label; attachment; file; stick; pin; read; clip; marker; tag
bookmark-check,no,read; finished; complete; clip; marker; tag; task; todo
bookmark-minus,no,delete; remove
bookmark-plus,no,add
bookmark-x,no,read; clip; marker; tag; cancel; close; delete; remove; clear
boom-box,no,radio; speakers; audio; music; sound; broadcast; live; frequency
bot,no,robot; ai; chat; assistant
bot-message-square,no,robot; ai; chat; assistant
bot-off,no,robot; ai; chat; assistant
bottle-wine,no,alcohol; drink; glass; goblet; chalice; vineyard; winery; red; white; rose; dry; sparkling; bar; party; nightclub; nightlife; sommelier; restaurant; dinner; meal
bow-arrow,no,archer; archery; game; war; weapon
box,no,cube; package; container; storage; geometry; 3d; isometric
box-select,yes,
boxes,no,cubes; packages; parts; group; units; collection; cluster; geometry
braces,no,json; code; token; curly brackets; data; {; }
brackets,no,code; token; array; list; square; [; ]
brain,no,medical; mind; mental; intellect; cerebral; consciousness; genius; artificial intelligence; ai; think; thought; insight; intelligent; smart
brain-circuit,no,mind; intellect; artificial intelligence; ai; deep learning; machine learning; computing
brain-cog,no,mind; intellect; artificial intelligence; ai; deep learning; machine learning; computing
brick-wall,no,bricks; mortar; cement; materials; construction; builder; labourer; quantity surveyor; blocks; stone
brick-wall-fire,no,firewall; security; bricks; mortar; cement; materials; construction; builder; labourer; quantity surveyor; blocks; stone; campfire; camping; wilderness; outdoors; lit; warmth; wood; twigs; sticks
brick-wall-shield,no,firewall; security; bricks; mortar; cement; materials; construction; builder; labourer; quantity surveyor; blocks; stone; cybersecurity; secure; safety; protection; guardian; armored; armoured; defense; defence; defender; block; threat; prevention; antivirus; vigilance; vigilant; detection; scan; find; strength; strong; tough; invincible; invincibility; invulnerable; undamaged; audit; admin; verification; crest; bravery; knight; foot soldier; infantry; trooper; pawn; battle; war; military; army; cadet; scout
briefcase,no,work; bag; baggage; folder
briefcase-business,no,work; bag; baggage; folder; portfolio
briefcase-conveyor-belt,no,baggage; luggage; travel; suitcase; conveyor; carousel
briefcase-medical,no,doctor; medicine; first aid
bring-to-front,no,bring; send; move; over; forward; front; overlap; layer; order
brush,no,clean; sweep; refactor; remove; draw; paint; color; artist
brush-cleaning,no,cleaning; utensil; housekeeping; tool; sweeping; scrubbing; hygiene; maintenance; household; cleaner; chores; equipment; sanitation; bristles; handle; home care; sanitize; purify; wash; disinfect; sterilize; scrub; polish; decontaminate; wipe; spotless; remove; empty; erase; purge; eliminate
bubbles,no,water; cleaning; soap; bath; hygiene; freshness; wash; foam; cleanliness; shampoo; purity; splash; lightness; airy; relaxation; spa; bubbly; fluid; floating; drop
bug,no,issue; error; defect; testing; troubleshoot; problem; report; debug; code; insect; beetle
bug-off,no,issue; fixed; resolved; testing; debug; code; insect; kill; exterminate; pest control
bug-play,no,issue; testing; debug; reproduce; code; insect
building,no,organisation; organization
building-2,no,business; company; enterprise; skyscraper; organisation; organization; city
bus,no,bus; vehicle; transport; trip
bus-front,no,coach; vehicle; trip; road
cable,no,cord; wire; connector; connection; link; signal; console; computer; equipment; electricity; energy; electronics; recharging; charger; power; supply; disconnected; unplugged; plugs; interface; input; output; audio video; av; rca; scart; tv; television; optical
cable-car,no,ski lift; winter holiday; alpine; resort; mountains
cake,no,birthday; birthdate; celebration; party; surprise; gateaux; dessert; fondant; icing sugar; sweet; baking
cake-slice,no,birthday; birthdate; celebration; party; surprise; gateaux; dessert; candles; wish; fondant; icing sugar; sweet; baking
calculator,no,count; calculating machine
calendar,no,date; month; year; event; birthday; birthdate
calendar-1,no,date; month; year; event; single; singular; once; 1; first
calendar-arrow-down,no,date; month; year; event; sort; order; ascending; descending; increasing; decreasing; rising; falling
calendar-arrow-up,no,date; month; year; event; sort; order; ascending; descending; increasing; decreasing; rising; falling
calendar-check,no,date; day; month; year; event; confirm; subscribe; schedule; done; todo; tick; complete; task
calendar-check-2,no,date; day; month; year; event; confirm; subscribe; schedule; done; todo; tick; complete; task
calendar-clock,no,date; day; month; year; event; clock; hour
calendar-cog,no,date; day; month; year; events; settings; gear; cog
calendar-days,no,date; month; year; event
calendar-fold,no,date; month; year; event; birthday; birthdate; ics
calendar-heart,no,date; month; year; event; heart; favourite; subscribe; valentines day
calendar-minus,no,date; day; month; year; event; delete; remove
calendar-minus-2,no,date; day; month; year; event; delete; remove
calendar-off,no,date; day; month; year; event; delete; remove
calendar-plus,no,date; day; month; year; event; add; subscribe; create; new
calendar-plus-2,no,date; day; month; year; event; add; subscribe; create; new
calendar-range,no,date; day; month; year; event; range; period
calendar-search,no,date; day; month; year; events; search; lens
calendar-sync,no,repeat; refresh; reconnect; transfer; backup; date; month; year; event; subscribe; recurring; schedule; reminder; automatic; auto
calendar-x,no,date; day; month; year; event; remove; busy
calendar-x-2,no,date; day; month; year; event; remove
calendars,no,date; month; year; event; dates; months; years; events
camera,no,photography; lens; focus; capture; shot; visual; image; device; equipment; photo; webcam; video
camera-off,no,photo; webcam; video
candlestick-chart,yes,
candy,no,sugar; food; sweet
candy-cane,no,sugar; food; sweet; christmas; xmas
candy-off,no,sugar free; food; sweet; allergy; intolerance; diet
cannabis,no,cannabis; weed; leaf
cannabis-off,no,cannabis; weed; leaf
captions,no,closed captions; subtitles; subhead; transcription; transcribe; dialogue; accessibility
captions-off,no,closed captions; subtitles; subhead; transcription; transcribe; dialogue; accessibility
car,no,vehicle; drive; trip; journey
car-front,no,vehicle; drive; trip; journey
car-taxi-front,no,cab; vehicle; drive; trip; journey
caravan,no,trailer; tow; camping; campsite; mobile home; holiday; nomadic; wilderness; outdoors
card-sim,no,cellphone; smartphone; mobile; network; cellular; service; provider; signal; coverage; disk; data; format; storage; flash; digital; contacts; phone book; contractual; circuit board; chip
carrot,no,vegetable; food; eat
case-lower,no,text; letters; characters; font; typography
case-sensitive,no,text; letters; characters; font; typography
case-upper,no,text; letters; characters; font; typography
cassette-tape,no,audio; music; recording; play
cast,no,chromecast; airplay; screen
castle,no,fortress; stronghold; palace; chateau; building
cat,no,animal; pet; kitten; feline
cctv,no,camera; surveillance; recording; film; videotape; crime; watching
chart-area,no,statistics; analytics; diagram; graph; area
chart-bar,no,statistics; analytics; diagram; graph
chart-bar-big,no,statistics; analytics; diagram; graph
chart-bar-decreasing,no,statistics; analytics; diagram; graph; trending down
chart-bar-increasing,no,statistics; analytics; diagram; graph; trending up
chart-bar-stacked,no,statistics; analytics; diagram; graph; multivariate; categorical; comparison
chart-candlestick,no,trading; trader; financial; markets; portfolio; assets; prices; value; valuation; commodities; currencies; currency; stocks; exchange; hedge fund; statistics; analytics; diagram; graph
chart-column,no,statistics; analytics; diagram; graph
chart-column-big,no,statistics; analytics; diagram; graph
chart-column-decreasing,no,statistics; analytics; diagram; graph; trending down
chart-column-increasing,no,statistics; analytics; diagram; graph; trending up
chart-column-stacked,no,statistics; analytics; diagram; graph; multivariate; categorical; comparison
chart-gantt,no,diagram; graph; timeline; planning
chart-line,no,statistics; analytics; diagram; graph
chart-network,no,statistics; analytics; diagram; graph; topology; cluster; web; nodes; connections; edges
chart-no-axes-column,no,statistics; analytics; diagram; graph
chart-no-axes-column-decreasing,no,statistics; analytics; diagram; graph; trending down
chart-no-axes-column-increasing,no,statistics; analytics; diagram; graph; trending up
chart-no-axes-combined,no,statistics; analytics; diagram; graph; trending up
chart-no-axes-gantt,no,projects; manage; overview; roadmap; plan; intentions; timeline; deadline; date; event; range; period; productivity; work; agile; code; coding
chart-pie,no,statistics; analytics; diagram; presentation
chart-scatter,no,statistics; analytics; diagram; graph
chart-spline,no,statistics; analytics; diagram; graph; curve; continuous; smooth; polynomial; quadratic; function; interpolation
check,no,done; todo; tick; complete; task
check-check,no,done; received; double; todo; tick; complete; task
check-circle,yes,
check-circle-2,yes,
check-line,no,done; todo; tick; complete; task
check-square,yes,
check-square-2,yes,
chef-hat,no,cooking; food; kitchen; restaurant
cherry,no,fruit; food
chess-bishop,no,mitre; miter; piece; board game; religion
chess-king,no,ruler; crown; piece; board game; stalemate
chess-knight,no,piece; horse; board game
chess-pawn,no,piece; board game
chess-queen,no,ruler; crown; piece; board game; stalemate
chess-rook,no,castle; piece; board game
chevron-down,no,backwards; reverse; slow; dropdown
chevron-down-circle,yes,
chevron-down-square,yes,
chevron-first,no,previous; music
chevron-last,no,skip; next; music
chevron-left,no,back; previous; less than; fewer; menu; <
chevron-left-circle,yes,
chevron-left-square,yes,
chevron-right,no,forward; next; more than; greater; menu; code; coding; command line; terminal; prompt; shell; >
chevron-right-circle,yes,
chevron-right-square,yes,
chevron-up,no,caret; keyboard; mac; control; ctrl; superscript; exponential; power; ahead; fast; ^; dropdown
chevron-up-circle,yes,
chevron-up-square,yes,
chevrons-down,no,backwards; reverse; slower
chevrons-down-up,no,collapse; fold; vertical
chevrons-left,no,turn; corner
chevrons-left-right,no,expand; horizontal; unfold
chevrons-left-right-ellipsis,no,internet; network; connection; cable; lan; port; router; switch; hub; modem; web; online; networking; communication; socket; plug; slot; controller; connector; interface; console; signal; data; input; output
chevrons-right,no,turn; corner
chevrons-right-left,no,collapse; fold; horizontal
chevrons-up,no,forward; ahead; faster; speed; boost
chevrons-up-down,no,expand; unfold; vertical
chrome,yes,
chromium,no,browser; logo
church,no,temple; building
cigarette,no,smoking
cigarette-off,no,smoking; no-smoking
circle,no,off; zero; record; shape
circle-alert,no,warning; alert; danger; exclamation mark
circle-arrow-down,no,backwards; reverse; direction; south; sign; button
circle-arrow-left,no,previous; back; direction; west; sign; turn; button; <-
circle-arrow-out-down-left,no,outwards; direction; south-west; diagonal
circle-arrow-out-down-right,no,outwards; direction; south-east; diagonal
circle-arrow-out-up-left,no,outwards; direction; north-west; diagonal; keyboard; button; escape
circle-arrow-out-up-right,no,outwards; direction; north-east; diagonal
circle-arrow-right,no,next; forward; direction; east; sign; turn; button; ->
circle-arrow-up,no,forward; direction; north; sign; button
circle-check,no,done; todo; tick; complete; task
circle-check-big,no,done; todo; tick; complete; task
circle-chevron-down,no,back; menu
